url,file,decision,official_source_urls,note
https://consumer.choulegal.com/consumer-letter.html,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/consumer-letter.html,verified_with_official_sources,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=249; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=493; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=494; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=495; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=19; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=19-2,第2批複查：頁面具體條號已對應官方來源。
ETP_PAGE:/[workspace]/notifications,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/[workspace]/(notifications-shell)/notifications/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_PAGE:/[workspace]/compliance-check,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/[workspace]/compliance-check/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_PAGE:/[workspace]/hrpro/civil-service/personnel-order,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/[workspace]/hrpro/civil-service/personnel-order/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_PAGE:/[workspace]/hrpro/health-check,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/[workspace]/hrpro/health-check/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_PAGE:/[workspace]/judgments,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/[workspace]/judgments/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_PAGE:/[workspace]/law-diff/[id],/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/[workspace]/law-diff/[id]/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_PAGE:/[workspace]/law-diff,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/[workspace]/law-diff/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_PAGE:/account,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/account/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_PAGE:/admin/law-candidates,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/admin/law-candidates/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_PAGE:/admin/law-changes,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/admin/law-changes/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_PAGE:/admin/law-impact/[id],/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/admin/law-impact/[id]/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_PAGE:/admin/law-impact,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/admin/law-impact/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_PAGE:/admin/waitlist,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/admin/waitlist/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_ROUTE:/api/[workspace]/civil-service/personnel-order,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/api/[workspace]/civil-service/personnel-order/route.ts,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_ROUTE:/api/[workspace]/compliance-check,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/api/[workspace]/compliance-check/route.ts,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_ROUTE:/api/[workspace]/hrpro/scenarios/simulate,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/api/[workspace]/hrpro/scenarios/simulate/route.ts,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_ROUTE:/api/[workspace]/judgments/search,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/api/[workspace]/judgments/search/route.ts,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_ROUTE:/api/[workspace]/override-rules,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/api/[workspace]/override-rules/route.ts,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_ROUTE:/api/admin/law-changes,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/api/admin/law-changes/route.ts,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_ROUTE:/api/cron/dispatch-law-diffs,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/api/cron/dispatch-law-diffs/route.ts,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_ROUTE:/api/cron/law-changes-poll,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/api/cron/law-changes-poll/route.ts,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_ROUTE:/api/cron/refresh-laws,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/api/cron/refresh-laws/route.ts,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_ROUTE:/api/law-diff/subscribe,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/api/law-diff/subscribe/route.ts,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_ROUTE:/api/law-diff/unsubscribe,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/api/law-diff/unsubscribe/route.ts,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
https://inheritance.choulegal.com/404.html,/Users/chouchunyeh/Desktop/choulegal/apps/inheritancepro/404.html,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
https://inheritance.choulegal.com/account.html,/Users/chouchunyeh/Desktop/choulegal/apps/inheritancepro/account.html,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
https://inheritance.choulegal.com/estate-tax-detail.html,/Users/chouchunyeh/Desktop/choulegal/apps/inheritancepro/estate-tax-detail.html,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
https://inheritance.choulegal.com/gift-planner.html,/Users/chouchunyeh/Desktop/choulegal/apps/inheritancepro/gift-planner.html,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
https://inheritance.choulegal.com/infidelity-damages.html,/Users/chouchunyeh/Desktop/choulegal/apps/inheritancepro/infidelity-damages.html,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
https://inheritance.choulegal.com/inheritance-agreement.html,/Users/chouchunyeh/Desktop/choulegal/apps/inheritancepro/inheritance-agreement.html,verified_with_official_sources,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1151; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1164; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1165; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1174,第2批複查：頁面具體條號已對應官方來源。
https://inheritance.choulegal.com/landing.html,/Users/chouchunyeh/Desktop/choulegal/apps/inheritancepro/landing.html,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
https://inheritance.choulegal.com/pitch.html,/Users/chouchunyeh/Desktop/choulegal/apps/inheritancepro/pitch.html,verified_with_official_sources,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1030-1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1057,第2批複查：頁面具體條號已對應官方來源。
https://labor.choulegal.com/404.html,/Users/chouchunyeh/Desktop/choulegal/apps/laborpro/404.html,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
https://labor.choulegal.com/labor-letter.html,/Users/chouchunyeh/Desktop/choulegal/apps/laborpro/labor-letter.html,verified_with_official_sources,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=16; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=17; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=22; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=24; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=38; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=59; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030020&flno=12,第2批複查：頁面具體條號已對應官方來源。
https://labor.choulegal.com/privacy.html,/Users/chouchunyeh/Desktop/choulegal/apps/laborpro/privacy.html,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
https://labor.choulegal.com/terms.html,/Users/chouchunyeh/Desktop/choulegal/apps/laborpro/terms.html,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
https://rental.choulegal.com/privacy.html,/Users/chouchunyeh/Desktop/choulegal/apps/rentalpro/privacy.html,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
https://rental.choulegal.com/terms.html,/Users/chouchunyeh/Desktop/choulegal/apps/rentalpro/terms.html,verified_with_official_sources,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0060001; https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0060125; https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001,第2批複查：頁面具體條號已對應官方來源。
https://ai.choulegal.com/,/Users/chouchunyeh/Desktop/周全法律科技-ChouLegal/ai-choulegal/index.html,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
https://choulegal.com/app/privacy.html,/Users/chouchunyeh/Desktop/周全法律科技-ChouLegal/choulegal-site/app/privacy.html,verified_with_official_sources,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=I0050021&flno=3,第2批複查：頁面具體條號已對應官方來源。
https://choulegal.com/privacy.html,/Users/chouchunyeh/Desktop/周全法律科技-ChouLegal/choulegal-site/privacy.html,verified_with_official_sources,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=I0050021&flno=8,第2批複查：頁面具體條號已對應官方來源。
https://choulegal.com/sponsor.html,/Users/chouchunyeh/Desktop/周全法律科技-ChouLegal/choulegal-site/sponsor.html,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
https://choulegal.com/terms.html,/Users/chouchunyeh/Desktop/周全法律科技-ChouLegal/choulegal-site/terms.html,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
